date,direction,start_time,end_time,duration_s,num_bins,peak_time,peak_vx,peak_abs_vx,mean_vx,mean_vy,mean_vz
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:12:25,2017-01-04 04:13:00,40.0,8,2017-01-04 04:12:45,-346.71240234375,346.71240234375,-331.45631217956543,-7.651067361235619,40.16725468635559
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:13:10,2017-01-04 04:15:15,130.0,26,2017-01-04 04:14:30,-386.1516418457031,386.1516418457031,-350.33355595515326,8.545413246521584,40.19213386682364
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:15:25,2017-01-04 04:18:50,210.0,42,2017-01-04 04:16:35,-391.76727294921875,391.76727294921875,-367.4362255278088,11.413381667364211,37.720738479069304
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:19:00,2017-01-04 04:20:00,65.0,13,2017-01-04 04:19:15,-389.5230407714844,389.5230407714844,-352.64830603966345,-11.159411833836483,25.127309542435867
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:20:30,2017-01-04 04:25:30,305.0,61,2017-01-04 04:23:15,-394.1494140625,394.1494140625,-355.7021354300077,-22.654679929379558,29.162695470403452
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:25:40,2017-01-04 04:39:20,825.0,165,2017-01-04 04:33:50,-401.229248046875,401.229248046875,-369.7852403120561,-43.136629383491744,43.87852656624534
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:39:50,2017-01-04 04:40:00,15.0,3,2017-01-04 04:40:00,-328.82484436035156,328.82484436035156,-319.3774058024089,-78.09362030029297,79.68138122558594
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:40:10,2017-01-04 04:43:10,185.0,37,2017-01-04 04:41:20,-383.5436706542969,383.5436706542969,-354.7796993771115,-48.29615845551362,60.87448687166781
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:43:35,2017-01-04 04:47:00,210.0,42,2017-01-04 04:44:50,-392.8952331542969,392.8952331542969,-374.24445197695775,-30.916287342707317,47.40469782693045
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:47:50,2017-01-04 04:47:55,10.0,2,2017-01-04 04:47:55,-306.4146423339844,306.4146423339844,-305.134033203125,-82.49784851074219,99.40482711791992
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:48:20,2017-01-04 04:48:45,30.0,6,2017-01-04 04:48:20,-323.6182861328125,323.6182861328125,-314.25306193033856,-37.87117497126261,51.59721819559733
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:48:55,2017-01-04 04:49:00,10.0,2,2017-01-04 04:49:00,-311.23394775390625,311.23394775390625,-310.45445251464844,-26.651532649993896,51.97176265716553
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:49:10,2017-01-04 04:49:45,40.0,8,2017-01-04 04:49:20,-345.5133056640625,345.5133056640625,-326.4354934692383,-38.33755084872246,35.8308265209198
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:49:55,2017-01-04 04:50:20,30.0,6,2017-01-04 04:50:15,-355.69122314453125,355.69122314453125,-327.97089131673175,-52.23024686177572,48.68908071517944
2017-01-04,tailward_fastflow_candidate,2017-01-04 04:50:35,2017-01-04 05:08:20,1070.0,214,2017-01-04 04:51:25,-397.5777282714844,397.5777282714844,-365.68544091910957,-17.88508196881859,33.05758326744365
